country,year_week,date,index_name,ticker,open,high,low,close,adjusted_close,volume,currency,source
Indonesia,2010-W01,2010-01-08,Jakarta Composite Index,^JKSE,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,2614.268310546875,73723500,IDR,yfinance
Malaysia,2010-W01,2010-01-08,FTSE Bursa Malaysia KLCI,^KLSE,1294.9300537109375,1295.510009765625,1290.8599853515625,1292.97998046875,1292.97998046875,74587200,MYR,yfinance
Philippines,2010-W01,2010-01-08,PSE Composite Index,PSEi.PS,3077.489990234375,3077.489990234375,3062.550048828125,3077.179931640625,3076.388916015625,0,PHP,yfinance
Singapore,2010-W01,2010-01-08,Straits Times Index,^STI,2913.25,2932.719970703125,2909.409912109375,2922.760009765625,2922.760009765625,0,SGD,yfinance
Thailand,2010-W01,2010-01-08,SET Index,^SET.BK,736.2899780273438,740.9099731445312,736.030029296875,738.9600219726562,738.9600219726562,2693600,THB,yfinance
Vietnam,2010-W01,2010-01-08,VN-Index,VNINDEX,541.0,544.5,520.9,520.9,520.9,76177100,VND,vnstock
Indonesia,2010-W02,2010-01-15,Jakarta Composite Index,^JKSE,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,2646.987060546875,47643800,IDR,yfinance
Malaysia,2010-W02,2010-01-15,FTSE Bursa Malaysia KLCI,^KLSE,1295.719970703125,1300.8900146484375,1295.719970703125,1298.5799560546875,1298.5799560546875,99995400,MYR,yfinance
Philippines,2010-W02,2010-01-15,PSE Composite Index,PSEi.PS,3124.070068359375,3133.530029296875,3116.419921875,3118.469970703125,3117.668212890625,0,PHP,yfinance
Singapore,2010-W02,2010-01-15,Straits Times Index,^STI,2909.52001953125,2921.419921875,2906.2900390625,2908.419921875,2908.419921875,0,SGD,yfinance
Thailand,2010-W02,2010-01-15,SET Index,^SET.BK,751.969970703125,753.1699829101562,745.5900268554688,746.52001953125,746.52001953125,2917100,THB,yfinance
Vietnam,2010-W02,2010-01-15,VN-Index,VNINDEX,509.2,512.6,503.3,505.4,505.4,36355610,VND,vnstock
Indonesia,2010-W03,2010-01-22,Jakarta Composite Index,^JKSE,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,2610.238525390625,36693100,IDR,yfinance
Malaysia,2010-W03,2010-01-22,FTSE Bursa Malaysia KLCI,^KLSE,1303.4300537109375,1303.4300537109375,1296.43994140625,1300.449951171875,1300.449951171875,94221600,MYR,yfinance
Philippines,2010-W03,2010-01-22,PSE Composite Index,PSEi.PS,3082.580078125,3082.580078125,3016.669921875,3023.469970703125,3022.692626953125,0,PHP,yfinance
Singapore,2010-W03,2010-01-22,Straits Times Index,^STI,2850.97998046875,2850.97998046875,2791.570068359375,2819.7099609375,2819.7099609375,0,SGD,yfinance
Thailand,2010-W03,2010-01-22,SET Index,^SET.BK,710.75,715.4199829101562,705.6900024414062,714.0999755859375,714.0999755859375,2973500,THB,yfinance
Vietnam,2010-W03,2010-01-22,VN-Index,VNINDEX,474.1,481.7,471.9,477.6,477.6,27517620,VND,vnstock
Indonesia,2010-W04,2010-01-29,Jakarta Composite Index,^JKSE,2619.260986328125,2619.260986328125,2569.26611328125,2610.7958984375,2610.6943359375,21712000,IDR,yfinance
Malaysia,2010-W04,2010-01-29,FTSE Bursa Malaysia KLCI,^KLSE,1258.4599609375,1260.0899658203125,1253.0899658203125,1259.1600341796875,1259.1600341796875,146463700,MYR,yfinance
Philippines,2010-W04,2010-01-29,PSE Composite Index,PSEi.PS,2941.010009765625,2955.1201171875,2928.010009765625,2953.18994140625,2952.4306640625,0,PHP,yfinance
Singapore,2010-W04,2010-01-29,Straits Times Index,^STI,2757.679931640625,2757.679931640625,2719.47998046875,2745.35009765625,2745.35009765625,0,SGD,yfinance
Thailand,2010-W04,2010-01-29,SET Index,^SET.BK,685.1400146484375,696.5499877929688,684.260009765625,696.5499877929688,696.5499877929688,1927300,THB,yfinance
Vietnam,2010-W04,2010-01-29,VN-Index,VNINDEX,481.5,484.2,477.1,482.0,482.0,24187770,VND,vnstock
Indonesia,2010-W05,2010-02-05,Jakarta Composite Index,^JKSE,2592.408935546875,2592.408935546875,2506.888916015625,2518.97607421875,2518.878173828125,34842900,IDR,yfinance
Malaysia,2010-W05,2010-02-05,FTSE Bursa Malaysia KLCI,^KLSE,1248.1500244140625,1253.0,1247.4599609375,1247.9000244140625,1247.9000244140625,137432000,MYR,yfinance
Philippines,2010-W05,2010-02-05,PSE Composite Index,PSEi.PS,2859.860107421875,2864.110107421875,2826.580078125,2855.639892578125,2854.90576171875,0,PHP,yfinance
