date,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
2010-01-04,-9.181017287705417,-12.810421084437262,-9.33961573731983,-12.127279038509286,-9.32658288241307,-8.017330875142996
2010-01-05,-9.906721833488184,-10.317986963932231,-10.81300380843433,-10.211522611976863,-9.604466315024014,-9.145017158345247
2010-01-06,-9.673440261153493,-11.086169773028734,-12.124714366397491,-11.176564543112171,-11.228157058179344,-8.539788350824619
2010-01-07,-9.295999535993095,-10.883212929677006,-9.90919595391344,-9.420271009480517,-10.288530355028326,-8.96190862045379
2010-01-08,-9.897664425801361,-12.27361918261044,-11.669409624685521,-10.680972669803275,-11.05803297840744,-7.252863533018417
2010-01-11,-9.742484524891537,-11.976151757822779,-11.309417456611575,-10.605633542401465,-10.911554202761954,-8.567093718171028
2010-01-12,-9.599853916758077,-12.244631865884886,-11.14802173695556,-10.372994186550358,-11.434430696167249,-7.643188107865773
2010-01-13,-9.698613569053173,-11.596329696316277,-10.733695106892542,-10.011191096148195,-10.893066439282522,-7.183881353475245
2010-01-14,-10.093487110603359,-12.049188763844224,-10.658766193859638,-9.750095096311007,-11.49119324035527,-9.245669885681911
2010-01-15,-11.062888243016724,-12.069899194885105,-11.433876398608483,-11.539869981458892,-10.206971042496699,-9.020380101413183
2010-01-18,-10.88529134993791,-10.306262752448825,-10.730515042287173,-10.833766015412703,-11.325758517921258,-8.434850917623729
2010-01-19,-10.240309888950643,-12.60009272089652,-10.049765557952343,-10.970833461523236,-8.919164714281175,-9.191993758993446
2010-01-20,-9.703252694816747,-11.552856358780671,-10.083145700677168,-9.465637593212557,-8.55548548699107,-8.881881029031423
2010-01-21,-9.242729304649112,-11.886309686829119,-11.015963418960471,-9.462718204396678,-9.332604583248308,-8.463181853352534
2010-01-22,-8.673895537902121,-11.46996404931101,-8.68860696640844,-8.740611242733394,-9.601271252648619,-8.789074864689388
2010-01-25,-9.701582072197963,-12.31984599772843,-8.859323029159539,-10.052149588729455,-9.346160757809661,-10.492222778863534
2010-01-26,-9.370276236556657,-9.415581051941238,-9.410210626885362,-8.073311611602234,-9.135245925087482,-9.316452254343936
2010-01-27,-9.38079083028555,-9.405324830356424,-8.900661479799801,-8.756982748879835,-8.613431861254464,-8.481614938483258
2010-01-28,-8.740466846365132,-11.667735783357582,-9.141032696807049,-8.757668061210005,-8.52622510289787,-9.70534390859983
2010-01-29,-8.91791988928639,-11.399376820499173,-10.393021774011515,-9.564327654616683,-9.07662962616478,-9.449707161086724
2010-02-02,-9.38566456478422,-11.38665844791593,-8.682716532170964,-9.172614842543478,-9.732053724409841,-10.307225111651153
2010-02-03,-10.253695599442214,-12.247437869916563,-10.489875351761238,-8.975430533875116,-9.510477598221973,-9.904860590268411
2010-02-04,-10.627035931276014,-12.854952494864609,-10.092347449749496,-10.499729828969782,-10.392969667950405,-9.19318875760468
2010-02-05,-7.809490183834599,-11.85652964453679,-9.676189581558829,-8.487085768945002,-10.33503085860814,-8.828030340543918
2010-02-08,-7.721225294818806,-10.093215133853334,-10.677531853646272,-9.705442053691794,-9.580019491552102,-10.634352054188032
2010-02-09,-8.807558068303857,-10.564605342555296,-9.40685473428981,-8.339890738885956,-9.750552799600026,-9.677767387559829
2010-02-10,-9.42233803400739,-11.16557503476133,-9.48532130235965,-10.234979100300922,-10.75302584385535,-10.487109409596297
2010-02-11,-9.310561722307936,-12.24025302061391,-9.05063312002891,-10.87138151700324,-10.369838592391266,-9.248855156979287
2010-02-12,-9.596458349432186,-12.28421864839452,-10.719314821341792,-10.734468573183113,-10.072427234790075,-10.753386041838155
2010-02-23,-9.073389857080752,-11.931356268543052,-11.009023542768713,-9.256345403343163,-9.26252460831083,-9.242180692257568
2010-02-24,-10.13381513645945,-12.093917506040938,-11.328804779176489,-9.797989161731747,-10.175952357315925,-10.323528752838593
2010-02-25,-9.01173580429217,-11.254416369401998,-9.373145157764915,-9.99262444178119,-9.756576490064013,-9.692965362220491
2010-03-02,-10.482028261885247,-11.49411037077494,-9.605767661901053,-11.310443324919868,-9.703063022714836,-10.050617419138801
2010-03-03,-9.730713720053599,-11.130468128853789,-10.72515880752892,-11.003378208870643,-10.410842253888882,-10.131828321153646
2010-03-04,-10.524679509250007,-12.723614024462222,-10.075720408279963,-9.99892575252787,-10.533088684978418,-9.953507273540852
2010-03-05,-11.055602177465204,-10.580366500571344,-10.244676176014611,-10.647385514619682,-9.030150666184142,-10.317837597857038
2010-03-08,-8.976522655336312,-10.181815796222557,-11.028217293516683,-9.19760054615882,-9.127940332919325,-10.01109508631468
2010-03-09,-9.76807845654809,-11.386719638623346,-10.884122252625978,-11.974744978298263,-10.623321974821458,-9.593279218071288
2010-03-10,-10.487408486522838,-10.522825541963638,-11.693537699658263,-10.680995809288719,-10.893932656892543,-9.717105114567339
2010-03-11,-10.349695120281037,-9.917311080479205,-11.657115536776372,-10.887304556931047,-9.606710588548765,-10.295200137704935
2010-03-12,-10.34973755465542,-10.237965667966057,-9.524453472037946,-11.483830495402055,-9.507324290089143,-10.424553966330329
2010-03-15,-10.398063191275986,-10.005661431847399,-10.869788746738779,-10.441083091648592,-9.844208180630169,-9.870753703393696
2010-03-17,-7.9026024601949105,-11.533778187296525,-11.107357952835715,-10.451590045502865,-9.55976781494662,-9.071508951829562
2010-03-18,-8.634116991861957,-11.584788902484721,-10.914103218719303,-11.153742844414145,-9.544282927534725,-9.069956510603138
2010-03-19,-9.891296666756247,-10.968451956339173,-11.822284522421397,-11.171509732103635,-9.086848309437363,-10.224437453303233
2010-03-22,-9.249858655201209,-11.859586295230361,-11.087932398715294,-10.41024972821274,-8.522916475879855,-9.857636030610248
2010-03-23,-9.292577545322574,-10.908670566357236,-10.113981550280782,-10.760655040680781,-10.244304458357012,-9.713485786390585
2010-03-24,-8.89060181996206,-11.456014275287442,-11.327588687152092,-10.061534786158395,-10.5888831946935,-10.669518432679723
2010-03-25,-8.88319825254392,-12.740136463375178,-10.628514299205122,-11.088095719537527,-9.400573041553068,-9.696547180511734
2010-03-26,-10.833667359460136,-13.905895839069983,-12.060756833681314,-10.634010521369062,-9.730989188765925,-10.327381396969715
2010-03-29,-9.877176179383675,-11.297525831343867,-10.538844166723615,-10.717662944908877,-9.147413035396811,-10.216650746518203
2010-03-30,-10.000680478945132,-11.671506267983467,-11.153819077186302,-12.082862204064362,-8.572274769470193,-10.017170947500155
2010-03-31,-9.010929654233262,-12.26619961821105,-9.82355951063397,-9.317503338961458,-9.56227776673246,-10.317837597857038
