date,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
2010-01-08,-9.897664425801361,-12.27361918261044,-11.669409624685521,-10.680972669803275,-11.05803297840744,-7.252863533018417
2010-01-15,-11.062888243016724,-12.069899194885105,-11.433876398608483,-11.539869981458892,-10.206971042496699,-9.020380101413183
2010-01-22,-8.673895537902121,-11.46996404931101,-8.68860696640844,-8.740611242733394,-9.601271252648619,-8.789074864689388
2010-01-29,-8.91791988928639,-11.399376820499173,-10.393021774011515,-9.564327654616683,-9.07662962616478,-9.449707161086724
2010-02-05,-7.809490183834599,-11.85652964453679,-9.676189581558829,-8.487085768945002,-10.33503085860814,-8.828030340543918
2010-02-12,-9.596458349432186,-12.28421864839452,-10.719314821341792,-10.734468573183113,-10.072427234790075,-10.753386041838155
2010-03-05,-11.055602177465204,-10.580366500571344,-10.244676176014611,-10.647385514619682,-9.030150666184142,-10.317837597857038
2010-03-12,-10.34973755465542,-10.237965667966057,-9.524453472037946,-11.483830495402055,-9.507324290089143,-10.424553966330329
2010-03-19,-9.891296666756247,-10.968451956339173,-11.822284522421397,-11.171509732103635,-9.086848309437363,-10.224437453303233
2010-03-26,-10.833667359460136,-13.905895839069983,-12.060756833681314,-10.634010521369062,-9.730989188765925,-10.327381396969715
2010-04-16,-9.46018019943922,-10.75094682813393,-9.444443488086348,-10.596369511655706,-8.900682677686385,-11.704191326607592
2010-05-07,-7.5835784300989815,-9.700023629406834,-8.318434916184987,-8.567908944392991,-9.549508362718019,-8.69228971798157
2010-05-14,-10.446079964298212,-12.70975570444771,-9.903380722435706,-10.441162303997089,-9.116373903287165,-11.02800915706969
2010-06-04,-9.942895852973027,-11.774813300808825,-10.921079550116344,-9.35679894841028,-10.136945686562939,-10.621538708218244
2010-06-11,-9.236303848039213,-11.353719049495451,-10.112969130228898,-10.317595721929026,-10.135647749150237,-11.637356646321914
2010-06-18,-9.556780155177556,-10.460341183940274,-10.94439604078053,-10.780892829999535,-10.754939494944253,-10.442789375441693
2010-06-25,-9.36863779003918,-12.286720643823603,-9.723513880430717,-10.287901079449853,-9.648413059617575,-10.4696633710093
2010-07-02,-10.14823819964191,-12.776087982303777,-9.962965336853745,-9.85542843061852,-10.707652061238521,-11.201589116548352
2010-07-09,-9.912957786020696,-10.527080730751063,-11.474377022727262,-10.643529404359105,-11.130566237182151,-11.963749160857148
2010-07-16,-11.01034340282915,-12.652005019070454,-10.527401752750599,-11.099213985788039,-10.268737253097166,-11.341201378780072
2010-07-23,-9.623205842794995,-12.244882479790466,-10.393156046260083,-10.672637460202193,-11.348718372661109,-11.127202288125126
