,coefficient,std_error,t_stat,p_value
const,16.361590898481772,3.135179507755921,5.21870944167818,1.801741568423629e-07
VIX,0.9616037501416205,0.25864724112855036,3.717819474686349,0.00020094978083435566
GPR,-0.13004887445665542,0.02968275359422155,-4.381294142534421,1.1797647576054579e-05
ΔOil,0.12131655296434735,0.05551894038914582,2.1851381188835735,0.028878721059839692
ΔDGS2_pp,2.222215920591947,2.9128600247045835,0.7628982861328256,0.4455240584138116
ΔDollar,-0.3703786071182965,0.5061889296266311,-0.7317003305297306,0.46435149463624537
ΔSP500,0.2447751730522976,0.15177536986559154,1.6127463452671165,0.10679962724386609
N_obs,184.0,,,
R_squared,0.47891299621886585,,,
Adj_R_squared,0.461249029988997,,,
HAC_maxlags,12.0,,,
F_stat,5.553039569465089,,,
Prob_F,2.6883931452564757e-05,,,
