Category,Metric_Name,Value,Unit,Notes
Metadata,Sample Start Date,2010-01-04,,
Metadata,Sample End Date,2026-07-17,,
Metadata,Total Synchronized Trading Days (N),3366,Observations,
Metadata,Total Weekly Observations (N),863,Weeks,
Robustness Reconciliation,"Squared-Return Mean TCI (W=250, H=10)",11.88,%,Empirically validated exact value
Robustness Reconciliation,Squared-Return Mean Net Vietnam,0.64,%,Positive indicates net transmitter
Robustness Reconciliation,Squared-Return Vietnam Transmitter Windows,64.07,%,% of windows with Net_Vietnam > 0
VAR Diagnostics (Baseline),n_obs,3340,,
VAR Diagnostics (Baseline),k_vars,6,,
VAR Diagnostics (Baseline),selected_lag,3,,
VAR Diagnostics (Baseline),lag_aic,7,,
VAR Diagnostics (Baseline),lag_bic,3,,
VAR Diagnostics (Baseline),lag_hqic,4,,
VAR Diagnostics (Baseline),is_stable,True,,
VAR Diagnostics (Baseline),min_poly_root,1.142003,,
VAR Diagnostics (Baseline),max_eigenvalue,0.875654,,
VAR Diagnostics (Baseline),portmanteau_stat,562.7818,,
VAR Diagnostics (Baseline),portmanteau_df,252,,
VAR Diagnostics (Baseline),portmanteau_pvalue,0.0,,
VAR Diagnostics (Baseline),DW_Indonesia,2.0193,,
VAR Diagnostics (Baseline),DW_Malaysia,2.0237,,
VAR Diagnostics (Baseline),DW_Philippines,2.0088,,
VAR Diagnostics (Baseline),DW_Singapore,2.0338,,
VAR Diagnostics (Baseline),DW_Thailand,2.0349,,
VAR Diagnostics (Baseline),DW_Vietnam,2.0434,,
Event Analysis: European Debt Crisis,Shock Mean TCI,28.73,%,
Event Analysis: European Debt Crisis,Tranquil Mean TCI,21.1,%,
Event Analysis: European Debt Crisis,Delta TCI (Shock - Tranquil),7.63,%,
Event Analysis: European Debt Crisis,MBB B20 95% CI,"[5.53, 10.09]",,
Event Analysis: European Debt Crisis,Raw Bootstrap p-value,< 0.0002,,
Event Analysis: European Debt Crisis,Holm-adjusted p-value,0.0008,,
Event Analysis: European Debt Crisis,Benjamini-Hochberg p-value,< 0.0002,,
Event Analysis: European Debt Crisis,Holm Significant at 5%,Yes,,
Event Analysis: European Debt Crisis,BH Significant at 5%,Yes,,
Event Analysis: European Debt Crisis,Shock Associated Increase,Yes,,
Event Analysis: Taper Tantrum,Shock Mean TCI,20.75,%,
Event Analysis: Taper Tantrum,Tranquil Mean TCI,13.51,%,
Event Analysis: Taper Tantrum,Delta TCI (Shock - Tranquil),7.24,%,
