lag_order,n_obs,aic,bic,hqic,fpe,is_stable,min_poly_root,max_eigenvalue,portmanteau_nlags,portmanteau_stat,portmanteau_df,portmanteau_pvalue,DW_mean,DW_min,DW_max,DW_Indonesia,DW_Malaysia,DW_Philippines,DW_Singapore,DW_Thailand,DW_Vietnam
1,3351,10.4163,10.493,10.4437,33399.682372,True,4.475944,0.223417,12,1022.8353,396,0.0,2.0224,2.0124,2.0318,2.0227,2.0318,2.0197,2.0256,2.0224,2.0124
2,3350,10.3971,10.5395,10.448,32764.740527,True,1.930125,0.518101,12,695.0228,360,0.0,2.0135,2.0092,2.0165,2.0144,2.0161,2.0113,2.0136,2.0165,2.0092
3,3349,10.3888,10.597,10.4632,32492.434751,True,1.496334,0.6683,12,542.5319,324,0.0,2.0087,2.0041,2.0142,2.0142,2.0079,2.0041,2.0096,2.0101,2.0064
4,3348,10.3854,10.6594,10.4834,32382.489871,True,1.325513,0.754425,12,452.6083,288,0.0,2.0065,2.0051,2.0091,2.0051,2.006,2.0051,2.0067,2.0091,2.0071
5,3347,10.3841,10.7239,10.5056,32340.21469,True,1.224947,0.816362,12,374.1816,252,1e-06,2.0048,2.0031,2.0077,2.0077,2.0034,2.0031,2.0058,2.0057,2.0034
6,3346,10.3803,10.7861,10.5254,32218.991375,True,1.168052,0.856126,12,291.1624,216,0.000489,2.0047,2.0004,2.0127,2.0075,2.0041,2.0024,2.001,2.0127,2.0004
7,3345,10.3843,10.856,10.5531,32349.196028,True,1.131834,0.883521,12,239.1705,180,0.002088,2.0032,2.0001,2.0076,2.0036,2.0013,2.0001,2.0021,2.0076,2.0045
8,3344,10.3922,10.9298,10.5845,32604.553637,True,1.107779,0.902707,12,197.3347,144,0.002119,2.0012,1.9973,2.0039,2.0017,2.0032,1.9986,1.9973,2.0039,2.0024
9,3343,10.4007,11.0043,10.6166,32884.003818,True,1.097034,0.911549,12,165.9164,108,0.000289,2.0014,1.9995,2.0033,2.0033,2.0,2.0015,2.0019,1.9995,2.0024
10,3342,10.4009,11.0705,10.6404,32890.046677,True,1.083399,0.923021,12,104.7087,72,0.007137,2.0011,1.9986,2.0029,1.9986,2.0,2.0015,2.0029,2.0021,2.0018
