measure,sync,window,horizon,n_windows,tci_mean,tci_std,tci_min,tci_max,tci_median,mean_net_Indonesia,mean_net_Malaysia,mean_net_Philippines,mean_net_Singapore,mean_net_Thailand,mean_net_Vietnam,share_Vietnam_net_transmitter
vol_parkinson,intersection,200,5,3144,19.24,9.97,3.77,54.83,16.88,2.6,-0.3,-1.77,-0.88,1.32,-0.97,41.7
vol_parkinson,intersection,200,10,3144,19.63,10.67,3.77,59.3,16.97,2.79,-0.46,-1.89,-0.91,1.53,-1.05,41.63
vol_parkinson,intersection,200,20,3144,19.67,10.8,3.77,60.61,16.97,2.81,-0.48,-1.91,-0.91,1.56,-1.07,41.6
vol_parkinson,intersection,250,5,3094,19.55,9.86,3.21,51.44,18.27,2.41,-0.29,-2.17,-0.98,1.66,-0.63,37.36
vol_parkinson,intersection,250,10,3094,20.04,10.65,3.21,56.03,18.44,2.58,-0.46,-2.32,-1.02,1.93,-0.72,37.52
vol_parkinson,intersection,250,20,3094,20.09,10.78,3.21,57.1,18.44,2.6,-0.48,-2.34,-1.02,1.97,-0.73,37.52
vol_parkinson,intersection,300,5,3044,19.92,9.82,2.82,48.55,18.69,2.18,-0.24,-2.49,-0.77,1.76,-0.44,36.7
vol_parkinson,intersection,300,10,3044,20.5,10.64,2.83,53.01,18.96,2.32,-0.4,-2.67,-0.79,2.05,-0.51,37.09
vol_parkinson,intersection,300,20,3044,20.55,10.76,2.83,53.92,18.97,2.33,-0.42,-2.69,-0.79,2.09,-0.52,37.09
vol_parkinson,weekly,40,1,804,27.42,10.34,7.9,65.22,26.41,-0.39,-0.94,-0.35,1.88,1.6,-1.8,22.64
vol_parkinson,weekly,40,2,804,35.14,9.49,18.43,70.9,33.52,3.42,-2.23,-4.64,0.97,4.39,-1.91,39.8
vol_parkinson,weekly,40,4,804,37.37,9.76,21.31,73.45,35.48,5.11,-2.36,-5.9,0.02,5.04,-1.91,42.54
vol_parkinson,weekly,50,1,794,26.75,10.64,6.06,62.35,25.53,-0.42,-0.84,-0.48,2.11,1.72,-2.08,14.99
vol_parkinson,weekly,50,2,794,33.86,10.33,15.47,69.25,31.54,3.15,-2.04,-4.87,0.74,5.03,-2.0,38.79
vol_parkinson,weekly,50,4,794,36.03,10.72,17.55,72.25,33.17,4.68,-2.39,-6.11,-0.01,6.09,-2.25,40.3
vol_parkinson,weekly,60,1,784,26.49,10.75,8.84,59.68,24.34,-0.57,-0.8,-0.58,2.2,1.85,-2.1,13.39
vol_parkinson,weekly,60,2,784,33.25,10.79,16.69,67.95,30.68,2.9,-1.87,-5.12,0.48,5.53,-1.91,38.9
vol_parkinson,weekly,60,4,784,35.46,11.29,17.77,71.32,32.32,4.15,-2.25,-6.52,-0.22,7.01,-2.18,40.05
vol_squared,intersection,200,5,3167,12.41,6.71,3.69,38.17,10.94,-0.59,-0.92,0.43,0.56,0.0,0.52,59.05
vol_squared,intersection,200,10,3167,12.41,6.72,3.69,38.19,10.94,-0.59,-0.92,0.43,0.56,0.0,0.52,59.05
vol_squared,intersection,200,20,3167,12.41,6.72,3.69,38.19,10.94,-0.59,-0.92,0.43,0.56,0.0,0.52,59.05
vol_squared,intersection,250,5,3117,11.88,6.35,3.23,34.25,10.66,-0.43,-0.93,0.35,0.43,-0.05,0.64,64.07
vol_squared,intersection,250,10,3117,11.88,6.35,3.23,34.26,10.66,-0.43,-0.93,0.35,0.43,-0.05,0.64,64.07
vol_squared,intersection,250,20,3117,11.88,6.35,3.23,34.26,10.66,-0.43,-0.93,0.35,0.43,-0.05,0.64,64.07
vol_squared,intersection,300,5,3067,11.56,6.01,2.86,30.74,10.09,-0.32,-0.96,0.28,0.43,-0.09,0.66,62.7
vol_squared,intersection,300,10,3067,11.56,6.01,2.86,30.75,10.09,-0.32,-0.96,0.28,0.43,-0.09,0.66,62.7
vol_squared,intersection,300,20,3067,11.56,6.01,2.86,30.75,10.09,-0.32,-0.96,0.28,0.43,-0.09,0.66,62.7
vol_squared,weekly,40,1,803,17.64,7.95,6.42,50.07,15.2,0.22,-0.26,0.32,-0.22,0.24,-0.29,33.37
vol_squared,weekly,40,2,803,25.64,7.21,14.69,56.82,23.89,-2.8,0.45,1.01,1.16,-0.75,0.93,52.43
vol_squared,weekly,40,4,803,26.81,7.19,15.06,57.7,25.09,-3.07,0.27,1.23,1.58,-0.93,0.93,50.81
vol_squared,weekly,50,1,793,15.34,7.82,5.32,47.93,12.88,0.17,-0.35,0.4,-0.26,0.23,-0.2,34.43
vol_squared,weekly,50,2,793,22.0,7.48,12.33,54.37,20.33,-2.88,0.78,0.77,1.19,-0.7,0.85,49.81
vol_squared,weekly,50,4,793,22.8,7.51,12.7,55.28,21.16,-3.15,0.78,0.79,1.53,-0.86,0.91,49.31
vol_squared,weekly,60,1,783,14.02,7.66,2.96,45.28,11.5,0.16,-0.38,0.46,-0.23,0.22,-0.23,32.95
vol_squared,weekly,60,2,783,19.79,7.6,9.74,51.39,18.03,-2.64,0.82,0.58,1.11,-0.64,0.78,47.89
vol_squared,weekly,60,4,783,20.37,7.67,9.92,52.42,18.77,-2.89,0.84,0.59,1.4,-0.73,0.78,47.38
vol_squared_usd,intersection,200,5,3161,11.1,5.41,3.51,32.91,9.65,-0.46,0.87,-0.44,-0.39,0.53,-0.12,41.79
vol_squared_usd,intersection,200,10,3161,11.1,5.42,3.51,32.97,9.65,-0.46,0.87,-0.44,-0.39,0.53,-0.12,41.79
vol_squared_usd,intersection,200,20,3161,11.1,5.42,3.51,32.97,9.65,-0.46,0.87,-0.44,-0.39,0.53,-0.12,41.79
vol_squared_usd,intersection,250,5,3111,10.53,5.05,3.37,30.02,9.43,-0.49,0.67,-0.37,-0.34,0.73,-0.2,40.6
vol_squared_usd,intersection,250,10,3111,10.53,5.05,3.37,30.06,9.43,-0.49,0.67,-0.37,-0.34,0.73,-0.2,40.6
vol_squared_usd,intersection,250,20,3111,10.53,5.05,3.37,30.06,9.43,-0.49,0.67,-0.37,-0.34,0.73,-0.2,40.6
vol_squared_usd,intersection,300,5,3061,10.19,4.78,3.46,26.2,9.57,-0.54,0.44,-0.37,-0.29,0.97,-0.2,40.35
vol_squared_usd,intersection,300,10,3061,10.19,4.78,3.46,26.22,9.57,-0.54,0.44,-0.37,-0.29,0.97,-0.2,40.35
vol_squared_usd,intersection,300,20,3061,10.19,4.78,3.46,26.22,9.57,-0.54,0.44,-0.37,-0.29,0.97,-0.2,40.35
vol_squared_usd,weekly,40,1,800,18.7,7.33,5.74,44.15,16.78,0.57,-0.74,0.16,0.3,0.43,-0.71,23.62
vol_squared_usd,weekly,40,2,800,27.38,6.82,16.89,53.3,25.53,-1.92,3.53,-0.03,-0.99,0.7,-1.29,44.38
vol_squared_usd,weekly,40,4,800,28.69,6.97,18.4,55.11,26.75,-1.97,3.11,0.4,-0.95,0.78,-1.37,45.38
vol_squared_usd,weekly,50,1,790,16.69,6.93,6.52,41.47,14.63,0.56,-0.67,0.13,0.17,0.44,-0.62,21.77
vol_squared_usd,weekly,50,2,790,24.2,6.81,14.24,50.06,22.27,-1.98,3.78,-0.3,-0.88,0.62,-1.25,43.92
vol_squared_usd,weekly,50,4,790,25.15,7.02,14.42,51.89,23.26,-2.03,3.43,-0.01,-0.7,0.58,-1.28,45.32
vol_squared_usd,weekly,60,1,780,15.38,6.47,4.53,38.46,13.18,0.57,-0.63,0.07,0.07,0.44,-0.53,17.18
vol_squared_usd,weekly,60,2,780,22.12,6.53,13.4,46.61,19.88,-2.3,4.13,-0.78,-0.75,0.75,-1.04,44.62
vol_squared_usd,weekly,60,4,780,22.88,6.78,13.62,48.41,20.68,-2.36,3.85,-0.52,-0.59,0.67,-1.05,45.38
vol_absolute,intersection,200,5,3167,12.5,6.39,3.72,35.28,11.09,-1.55,-1.62,2.08,0.62,-0.02,0.48,59.49
vol_absolute,intersection,200,10,3167,12.5,6.4,3.72,35.3,11.1,-1.55,-1.62,2.08,0.62,-0.02,0.48,59.49
vol_absolute,intersection,200,20,3167,12.5,6.4,3.72,35.3,11.1,-1.55,-1.62,2.08,0.62,-0.02,0.48,59.49
vol_absolute,intersection,250,5,3117,11.96,5.99,3.34,31.47,10.84,-1.5,-1.7,2.18,0.45,-0.08,0.66,67.34
vol_absolute,intersection,250,10,3117,11.96,5.99,3.34,31.48,10.84,-1.5,-1.7,2.18,0.45,-0.08,0.66,67.34
vol_absolute,intersection,250,20,3117,11.96,5.99,3.34,31.48,10.84,-1.5,-1.7,2.18,0.45,-0.08,0.66,67.34
vol_absolute,intersection,300,5,3067,11.62,5.63,2.91,28.36,10.61,-1.48,-1.79,2.22,0.41,-0.11,0.75,68.14
vol_absolute,intersection,300,10,3067,11.62,5.63,2.91,28.37,10.61,-1.48,-1.79,2.22,0.41,-0.11,0.75,68.14
vol_absolute,intersection,300,20,3067,11.62,5.63,2.91,28.37,10.61,-1.48,-1.79,2.22,0.41,-0.11,0.75,68.14
vol_absolute,weekly,40,1,803,17.67,7.93,6.42,50.07,15.22,0.23,-0.26,0.31,-0.21,0.23,-0.3,32.13
