,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0
Mean,0.0257,0.0089,0.0221,0.0193,0.0239,0.0371
Median,0.0928,0.0173,0.0416,0.0349,0.0543,0.1114
Std Dev,1.2099,0.7242,1.2807,0.9328,1.1106,1.331
Min,-13.3264,-6.1893,-14.3224,-13.7674,-11.4282,-15.583
Max,9.7042,6.6263,12.345,7.3645,7.6531,7.4618
Skewness,-0.9658,-0.5007,-0.5649,-1.3357,-1.0107,-1.0407
Excess Kurtosis,11.881,9.1265,11.7425,21.0339,12.2173,9.752
JB Stat,20249.59,11779.53,19448.46,62836.94,21432.04,13896.48
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-10.93,-39.3243,-23.9698,-14.327,-16.8912,-19.8993
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.232,0.1218,0.3611,0.2235,0.2416,0.0809
KPSS p-value,0.1,0.1,0.0939,0.1,0.1,0.1
