,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,842.0,842.0,842.0,842.0,842.0,842.0
Mean,0.1021,0.0347,0.087,0.0753,0.0946,0.1464
Median,0.2686,0.0501,0.1666,0.1874,0.1929,0.3835
Std Dev,2.361,1.413,2.4523,1.9336,2.166,2.7321
Min,-15.6899,-9.7926,-19.2631,-12.3041,-18.9587,-15.718
Max,8.6797,5.486,10.1891,9.1565,7.5401,12.8648
Skewness,-1.1083,-0.2845,-0.8744,-0.5164,-1.0122,-0.6684
Excess Kurtosis,5.3591,3.6837,7.4599,5.2313,8.5877,3.6691
JB Stat,1164.77,479.94,2032.53,983.45,2695.75,527.37
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-30.9442,-28.4083,-29.77,-16.2898,-18.4999,-26.7041
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.2389,0.1226,0.3586,0.285,0.2577,0.0845
KPSS p-value,0.1,0.1,0.095,0.1,0.1,0.1
