,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,3352.0,3352.0,3352.0,3352.0,3352.0,3352.0
Mean,0.8154,0.5015,0.8991,0.6345,0.7513,0.9099
Median,0.5765,0.3614,0.663,0.4479,0.5211,0.6297
Std Dev,0.8927,0.5231,0.9143,0.6846,0.8191,0.9742
Min,0.0,0.0,0.0,0.0003,0.0006,0.0
Max,13.3264,6.6263,14.3224,13.7674,11.4282,15.583
Skewness,3.8031,3.4075,3.8287,4.8191,3.8565,3.2241
Excess Kurtosis,27.4386,22.1658,31.9966,55.9801,28.4011,23.1444
JB Stat,112897.82,74886.59,150728.69,449314.2,120609.58,80381.77
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-8.9841,-11.0073,-11.5453,-11.4419,-8.1937,-13.8337
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.2566,0.535,0.2169,0.231,0.474,0.3393
KPSS p-value,0.1,0.0338,0.1,0.1,0.0475,0.1
