,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,674.0,674.0,674.0,674.0,674.0,674.0
Mean,1.6674,1.0417,1.853,1.3714,1.5912,2.0194
Median,1.1556,0.7998,1.473,0.9843,1.1847,1.5153
Std Dev,1.7809,0.9721,1.7658,1.3799,1.5731,1.9017
Min,0.0018,0.0031,0.0045,0.0015,0.0,0.0017
Max,15.6899,9.7926,19.2631,12.3041,18.9587,15.718
Skewness,2.5885,2.4579,3.2808,2.8367,3.4512,2.4205
Excess Kurtosis,10.3783,11.9478,21.2341,13.8105,25.0508,9.6803
JB Stat,3724.4,4619.43,13668.81,6170.39,18683.21,3243.22
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-8.8812,-8.3998,-6.9345,-7.9613,-6.305,-8.2921
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.1665,0.1531,0.1874,0.0769,0.3784,0.1305
KPSS p-value,0.1,0.1,0.1,0.1,0.0865,0.1
