,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,3329.0,3329.0,3329.0,3329.0,3329.0,3329.0
Mean,0.0001,0.0,0.0001,0.0,0.0001,0.0001
Median,0.0,0.0,0.0,0.0,0.0,0.0
Std Dev,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002
Min,0.0,0.0,0.0,0.0,0.0,0.0
Max,0.004,0.0016,0.0073,0.0015,0.0121,0.0022
Skewness,11.4865,13.9136,24.5057,8.7684,41.622,5.6754
Excess Kurtosis,194.7889,327.0837,814.2779,132.0597,2074.6308,47.1166
JB Stat,5320218.02,14902160.33,92026886.06,2454336.9,596181547.64,324836.92
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-7.7064,-8.9915,-16.5948,-7.1628,-23.2262,-13.4668
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.2751,0.4645,0.257,0.4744,0.0912,0.271
KPSS p-value,0.1,0.0497,0.1,0.0474,0.1,0.1
