,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,676.0,676.0,676.0,676.0,676.0,676.0
Mean,0.0001,0.0,0.0001,0.0,0.0001,0.0001
Median,0.0,0.0,0.0,0.0,0.0,0.0
Std Dev,0.0002,0.0001,0.0003,0.0001,0.0005,0.0002
Min,0.0,0.0,0.0,0.0,0.0,0.0
Max,0.0023,0.0016,0.0073,0.0015,0.0121,0.002
Skewness,8.0802,15.2324,21.0689,11.6216,25.1985,5.8879
Excess Kurtosis,83.367,273.8752,499.3016,175.4901,647.3939,48.965
JB Stat,200162.77,2107530.64,6968272.39,869746.61,11702453.11,70402.79
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-8.4459,-12.9951,-14.0121,-10.4087,-23.5306,-16.2453
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.111,0.1894,0.1949,0.1554,0.0711,0.1459
KPSS p-value,0.1,0.1,0.1,0.1,0.1,0.1
