,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,3352.0,3352.0,3352.0,3352.0,3352.0,3352.0
Mean,1.4616,0.5251,1.6441,0.8711,1.2351,1.7768
Median,0.3324,0.1306,0.4396,0.2006,0.2715,0.3966
Std Dev,5.441,1.749,6.0778,4.1703,4.641,6.0498
Min,0.0,0.0,0.0,0.0,0.0,0.0
Max,177.5935,43.9077,205.1299,189.5424,130.6034,242.8309
Skewness,16.3004,13.216,19.3336,30.804,15.2562,21.7473
Excess Kurtosis,404.1166,242.1159,526.8471,1285.5338,320.4461,775.2505
JB Stat,22889137.79,8260246.29,38859829.26,230653964.69,14428791.23,83954984.99
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-11.8667,-15.5738,-9.6838,-14.6926,-9.936,-17.1422
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.131,0.2771,0.1594,0.0738,0.1052,0.1807
KPSS p-value,0.1,0.1,0.1,0.1,0.1,0.1
