,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
N,840.0,840.0,840.0,840.0,840.0,840.0
Mean,5.572,1.9926,6.0183,3.7263,4.6878,7.4847
Median,1.3024,0.6299,1.9708,0.9688,1.4348,2.3458
Std Dev,14.8932,4.7385,18.3397,9.9699,15.1013,17.5285
Min,0.0,0.0,0.0,0.0,0.0,0.0
Max,246.1733,95.8957,371.0689,151.3919,359.4313,247.0566
Skewness,7.9746,10.758,12.9282,8.7468,16.5646,7.2422
Excess Kurtosis,96.604,188.1518,222.6831,105.1199,368.1954,74.5225
JB Stat,331584.5,1240408.36,1738210.82,392794.67,4726744.99,199352.54
JB p-value,0.0,0.0,0.0,0.0,0.0,0.0
ADF Stat,-12.5459,-5.8095,-6.6696,-12.856,-15.5959,-17.8725
ADF p-value,0.0,0.0,0.0,0.0,0.0,0.0
KPSS Stat,0.1163,0.1449,0.1339,0.0848,0.118,0.233
KPSS p-value,0.1,0.1,0.1,0.1,0.1,0.1
