lag_order,n_obs,aic,bic,hqic,fpe,is_stable,min_poly_root,max_eigenvalue,portmanteau_nlags,portmanteau_stat,portmanteau_df,portmanteau_pvalue,DW_mean,DW_min,DW_max,DW_Indonesia,DW_Malaysia,DW_Philippines,DW_Singapore,DW_Thailand,DW_Vietnam
1,3328,-1.9827,-1.9056,-1.9552,0.137691,True,1.47995,0.675699,12,2703.9316,396,0.0,2.2032,2.1226,2.2391,2.2391,2.1785,2.1226,2.2133,2.2271,2.2388
2,3327,-2.2406,-2.0974,-2.1894,0.106394,True,1.199263,0.833845,12,1163.8942,360,0.0,2.0556,2.0222,2.0748,2.0505,2.0519,2.0222,2.0748,2.0609,2.0736
3,3326,-2.3328,-2.1233,-2.2578,0.097028,True,1.141847,0.875774,12,712.9953,324,0.0,2.0272,2.0088,2.0438,2.019,2.0237,2.0088,2.0341,2.0336,2.0438
4,3325,-2.3883,-2.1127,-2.2897,0.091788,True,1.105287,0.904742,12,505.466,288,0.0,2.0133,2.0075,2.0187,2.0125,2.0078,2.0075,2.0184,2.015,2.0187
5,3324,-2.4051,-2.0633,-2.2828,0.090252,True,1.091021,0.916573,12,413.6505,252,0.0,2.0094,2.004,2.0163,2.0163,2.0093,2.004,2.0118,2.0059,2.0094
6,3323,-2.422,-2.0139,-2.276,0.088743,True,1.078852,0.926911,12,323.0627,216,3e-06,2.0097,2.0026,2.0141,2.0138,2.0141,2.0026,2.011,2.0061,2.0108
7,3322,-2.4332,-1.9588,-2.2634,0.087758,True,1.06457,0.939347,12,249.4138,180,0.000473,2.0051,2.0012,2.0081,2.0041,2.008,2.0012,2.0081,2.0059,2.0036
8,3321,-2.4268,-1.886,-2.2333,0.088324,True,1.061629,0.941949,12,216.8361,144,8.3e-05,2.0036,1.9994,2.0064,2.0016,2.0064,2.0037,2.0052,2.0051,1.9994
9,3320,-2.4281,-1.821,-2.2108,0.08821,True,1.05131,0.951194,12,167.7241,108,0.000205,2.0024,1.9988,2.0045,2.0044,2.002,1.9988,2.0042,2.0045,2.0007
10,3319,-2.4218,-1.7483,-2.1808,0.088762,True,1.045415,0.956558,12,136.186,72,7e-06,2.0027,1.9982,2.009,2.0045,2.0009,1.9982,2.009,2.0026,2.0007
